创建为新数据集,样品 022 用户 Administrator 日期 星期三, 十一月 01 2017
cm-1,%T
10000.00,1.52
9999.00,1.52
9998.00,1.52
9997.00,1.52
9996.00,1.52
9995.00,1.52
9994.00,1.52
9993.00,1.52
9992.00,1.51
9991.00,1.51
9990.00,1.51
9989.00,1.51
9988.00,1.51
9987.00,1.51
9986.00,1.51
9985.00,1.51
9984.00,1.51
9983.00,1.51
9982.00,1.51
9981.00,1.51
9980.00,1.51
9979.00,1.51
9978.00,1.51
9977.00,1.51
9976.00,1.51
9975.00,1.51
9974.00,1.51
9973.00,1.51
9972.00,1.50
9971.00,1.50
9970.00,1.50
9969.00,1.50
9968.00,1.50
9967.00,1.51
9966.00,1.51
9965.00,1.51
9964.00,1.51
9963.00,1.51
9962.00,1.51
9961.00,1.51
9960.00,1.51
9959.00,1.51
9958.00,1.51
9957.00,1.52
9956.00,1.52
9955.00,1.52
9954.00,1.52
9953.00,1.52
9952.00,1.52
9951.00,1.52
9950.00,1.52
9949.00,1.51
9948.00,1.51
9947.00,1.51
9946.00,1.51
9945.00,1.51
9944.00,1.50
9943.00,1.50
9942.00,1.50
9941.00,1.50
9940.00,1.49
9939.00,1.49
9938.00,1.49
9937.00,1.49
9936.00,1.49
9935.00,1.49
9934.00,1.49
9933.00,1.49
9932.00,1.49
9931.00,1.49
9930.00,1.49
9929.00,1.49
9928.00,1.49
9927.00,1.49
9926.00,1.49
9925.00,1.49
9924.00,1.49
9923.00,1.49
9922.00,1.49
9921.00,1.49
9920.00,1.49
9919.00,1.50
9918.00,1.50
9917.00,1.50
9916.00,1.50
9915.00,1.50
9914.00,1.50
9913.00,1.50
9912.00,1.51
9911.00,1.51
9910.00,1.51
9909.00,1.51
9908.00,1.51
9907.00,1.51
9906.00,1.52
9905.00,1.52
9904.00,1.52
9903.00,1.52
9902.00,1.52
9901.00,1.52
9900.00,1.52
9899.00,1.52
9898.00,1.52
9897.00,1.51
9896.00,1.51
9895.00,1.51
