创建为新数据集,样品 427 用户 Administrator 日期 星期四, 三月 08 2018
cm-1,%T
10000.00,1.56
9999.00,1.56
9998.00,1.56
9997.00,1.56
9996.00,1.56
9995.00,1.56
9994.00,1.56
9993.00,1.56
9992.00,1.56
9991.00,1.56
9990.00,1.56
9989.00,1.56
9988.00,1.56
9987.00,1.56
9986.00,1.56
9985.00,1.56
9984.00,1.56
9983.00,1.56
9982.00,1.56
9981.00,1.56
9980.00,1.56
9979.00,1.55
9978.00,1.55
9977.00,1.55
9976.00,1.55
9975.00,1.55
9974.00,1.55
9973.00,1.55
9972.00,1.55
9971.00,1.54
9970.00,1.54
9969.00,1.54
9968.00,1.54
9967.00,1.54
9966.00,1.54
9965.00,1.54
9964.00,1.53
9963.00,1.53
9962.00,1.53
9961.00,1.53
9960.00,1.53
9959.00,1.53
9958.00,1.53
9957.00,1.53
9956.00,1.53
9955.00,1.54
9954.00,1.54
9953.00,1.54
9952.00,1.54
9951.00,1.54
9950.00,1.54
9949.00,1.54
9948.00,1.54
9947.00,1.54
9946.00,1.54
9945.00,1.54
9944.00,1.55
9943.00,1.55
9942.00,1.55
9941.00,1.55
9940.00,1.55
9939.00,1.55
9938.00,1.55
9937.00,1.55
9936.00,1.55
9935.00,1.55
9934.00,1.55
9933.00,1.55
9932.00,1.55
9931.00,1.55
9930.00,1.55
9929.00,1.55
9928.00,1.55
9927.00,1.55
9926.00,1.55
9925.00,1.55
9924.00,1.55
9923.00,1.55
9922.00,1.55
9921.00,1.55
9920.00,1.55
9919.00,1.55
9918.00,1.55
9917.00,1.55
9916.00,1.55
9915.00,1.55
9914.00,1.54
9913.00,1.54
9912.00,1.54
9911.00,1.54
9910.00,1.54
9909.00,1.54
9908.00,1.53
9907.00,1.53
9906.00,1.53
9905.00,1.53
9904.00,1.53
9903.00,1.53
9902.00,1.52
9901.00,1.52
9900.00,1.52
9899.00,1.52
9898.00,1.52
9897.00,1.52
9896.00,1.52
9895.00,1.52
9894.00,1.53
9893.00,1.53
9892.00,1.53
9891.00,1.53
9890.00,1.53
9889.00,1.53
9888.00,1.54
9887.00,1.54
9886.00,1.54
9885.00,1.54
9884.00,1.54
9883.00,1.54
9882.00,1.54
9881.00,1.54
9880.00,1.54
9879.00,1.54
9878.00,1.54
9877.00,1.54
9876.00,1.54
9875.00,1.54
9874.00,1.54
9873.00,1.54
9872.00,1.54
9871.00,1.54
9870.00,1.54
9869.00,1.54
9868.00,1.55
9867.00,1.55
9866.00,1.55
9865.00,1.55
9864.00,1.55
9863.00,1.55
9862.00,1.55
9861.00,1.55
9860.00,1.55
9859.00,1.55
9858.00,1.55
9857.00,1.54
9856.00,1.54
9855.00,1.54
9854.00,1.54
9853.00,1.53
9852.00,1.53
9851.00,1.53
9850.00,1.53
9849.00,1.53
9848.00,1.52
9847.00,1.52
9846.00,1.52
9845.00,1.52
9844.00,1.52
9843.00,1.52
9842.00,1.52
9841.00,1.52
9840.00,1.52
9839.00,1.52
9838.00,1.52
9837.00,1.52
9836.00,1.52
9835.00,1.52
9834.00,1.52
9833.00,1.52
9832.00,1.52
9831.00,1.52
9830.00,1.52
9829.00,1.51
9828.00,1.51
9827.00,1.51
9826.00,1.51
9825.00,1.51
9824.00,1.50
9823.00,1.50
9822.00,1.50
