创建为新数据集,样品 015 用户 Administrator 日期 星期五, 七月 20 2018
cm-1,%T
10000.00,1.43
9999.00,1.43
9998.00,1.43
9997.00,1.43
9996.00,1.43
9995.00,1.43
9994.00,1.43
9993.00,1.43
9992.00,1.43
9991.00,1.43
9990.00,1.43
9989.00,1.43
9988.00,1.43
9987.00,1.43
9986.00,1.43
9985.00,1.43
9984.00,1.43
9983.00,1.43
9982.00,1.43
9981.00,1.43
9980.00,1.43
9979.00,1.43
9978.00,1.43
9977.00,1.43
9976.00,1.43
9975.00,1.43
9974.00,1.43
9973.00,1.43
9972.00,1.43
9971.00,1.43
9970.00,1.43
9969.00,1.43
9968.00,1.43
9967.00,1.43
9966.00,1.43
9965.00,1.43
9964.00,1.42
9963.00,1.42
9962.00,1.42
9961.00,1.42
9960.00,1.42
9959.00,1.41
9958.00,1.41
9957.00,1.41
9956.00,1.41
9955.00,1.41
9954.00,1.41
9953.00,1.41
9952.00,1.41
9951.00,1.41
9950.00,1.41
9949.00,1.41
9948.00,1.41
9947.00,1.41
9946.00,1.41
9945.00,1.41
9944.00,1.41
9943.00,1.41
9942.00,1.41
9941.00,1.41
9940.00,1.41
9939.00,1.41
9938.00,1.41
9937.00,1.41
9936.00,1.41
9935.00,1.41
9934.00,1.41
9933.00,1.41
9932.00,1.41
9931.00,1.41
9930.00,1.41
9929.00,1.40
9928.00,1.40
9927.00,1.40
9926.00,1.40
9925.00,1.40
9924.00,1.40
9923.00,1.40
9922.00,1.40
9921.00,1.40
9920.00,1.40
9919.00,1.40
9918.00,1.40
9917.00,1.40
9916.00,1.40
9915.00,1.40
9914.00,1.40
9913.00,1.40
9912.00,1.40
9911.00,1.40
9910.00,1.40
9909.00,1.41
9908.00,1.41
9907.00,1.41
9906.00,1.41
9905.00,1.41
9904.00,1.42
9903.00,1.42
9902.00,1.42
9901.00,1.42
9900.00,1.42
9899.00,1.42
9898.00,1.42
9897.00,1.42
9896.00,1.42
9895.00,1.42
9894.00,1.42
9893.00,1.42
9892.00,1.41
9891.00,1.41
9890.00,1.41
9889.00,1.41
9888.00,1.40
9887.00,1.40
9886.00,1.40
9885.00,1.39
9884.00,1.39
9883.00,1.39
9882.00,1.38
9881.00,1.38
9880.00,1.38
9879.00,1.38
9878.00,1.37
9877.00,1.37
9876.00,1.37
9875.00,1.37
9874.00,1.37
9873.00,1.37
9872.00,1.37
9871.00,1.37
9870.00,1.37
9869.00,1.37
9868.00,1.37
9867.00,1.38
9866.00,1.38
9865.00,1.38
9864.00,1.38
9863.00,1.38
9862.00,1.38
9861.00,1.38
9860.00,1.39
9859.00,1.39
9858.00,1.39
9857.00,1.39
9856.00,1.39
9855.00,1.40
9854.00,1.40
9853.00,1.40
9852.00,1.40
9851.00,1.41
9850.00,1.41
9849.00,1.41
9848.00,1.41
9847.00,1.41
9846.00,1.41
9845.00,1.41
9844.00,1.41
9843.00,1.41
9842.00,1.41
